SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_overall,source,target
Bachelors,Communications and journalism,435,68000,0.0077042486,0.000413359,Major: Communications and journalism,Occ: Architecture and engineering
Bachelors,Communications and journalism,8610,56000,0.1413147937,0.0075820167,Major: Communications and journalism,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Communications and journalism,221,33000,0.0041588066,0.000223134,Major: Communications and journalism,Occ: Building and grounds cleaning and maintenance
Bachelors,Communications and journalism,6575,58000,0.1135115116,0.0060902766,Major: Communications and journalism,Occ: Business and financial operations
Bachelors,Communications and journalism,1130,41000,0.0196642255,0.0010550522,Major: Communications and journalism,Occ: Community and social service
Bachelors,Communications and journalism,2344,63000,0.0399895671,0.0021455756,Major: Communications and journalism,Occ: Computer and mathematical
Bachelors,Communications and journalism,296,51000,0.0051445709,0.0002760236,Major: Communications and journalism,Occ: Construction and extraction
Bachelors,Communications and journalism,2460,44000,0.0398013972,0.0021354796,Major: Communications and journalism,"Occ: Education, training, and library"
Bachelors,Communications and journalism,741,31000,0.0150327879,0.0008065599,Major: Communications and journalism,Occ: Food preparation and serving related
Bachelors,Communications and journalism,982,55000,0.0168875378,0.0009060735,Major: Communications and journalism,Occ: Healthcare practitioners and technical
Bachelors,Communications and journalism,207,33000,0.0038554338,0.0002068571,Major: Communications and journalism,Occ: Healthcare support
Bachelors,Communications and journalism,438,53000,0.0086867034,0.000466071,Major: Communications and journalism,"Occ: Installation, maintenance and repair"
Bachelors,Communications and journalism,510,54000,0.0086627488,0.0004647858,Major: Communications and journalism,Occ: Legal
Bachelors,Communications and journalism,215,57000,0.0040158668,0.0002154648,Major: Communications and journalism,"Occ: Life, physical, and social sciences"
Bachelors,Communications and journalism,13370,72000,0.2227105604,0.011949175,Major: Communications and journalism,Occ: Management
Bachelors,Communications and journalism,7541,42000,0.1285736124,0.0068984093,Major: Communications and journalism,Occ: Office and administrative support
Bachelors,Communications and journalism,618,34000,0.0109488395,0.0005874423,Major: Communications and journalism,Occ: Personal care and service
Bachelors,Communications and journalism,712,44000,0.0120069405,0.000644213,Major: Communications and journalism,Occ: Production
Bachelors,Communications and journalism,891,65000,0.0153661039,0.0008244435,Major: Communications and journalism,Occ: Protective service
Bachelors,Communications and journalism,9774,63000,0.1688139151,0.0090574376,Major: Communications and journalism,Occ: Sales and related
Bachelors,Communications and journalism,696,48000,0.0125925681,0.0006756339,Major: Communications and journalism,Occ: Transportation and material moving
Bachelors,"Computers, statistics, and mathematics",2982,88000,0.0395219823,0.0026478449,"Major: Computers, statistics, and mathematics",Occ: Architecture and engineering
Bachelors,"Computers, statistics, and mathematics",1598,60000,0.0221011517,0.0014807056,"Major: Computers, statistics, and mathematics","Occ: Arts, design, entertainment, sports, and media"
Bachelors,"Computers, statistics, and mathematics",234,30000,0.0035253859,0.0002361894,"Major: Computers, statistics, and mathematics",Occ: Building and grounds cleaning and maintenance
Bachelors,"Computers, statistics, and mathematics",4729,72000,0.0641107062,0.0042952098,"Major: Computers, statistics, and mathematics",Occ: Business and financial operations
Bachelors,"Computers, statistics, and mathematics",425,41000,0.0060464034,0.0004050895,"Major: Computers, statistics, and mathematics",Occ: Community and social service
Bachelors,"Computers, statistics, and mathematics",33576,84000,0.4515209908,0.0302504449,"Major: Computers, statistics, and mathematics",Occ: Computer and mathematical
Bachelors,"Computers, statistics, and mathematics",455,46000,0.0071258659,0.0004774099,"Major: Computers, statistics, and mathematics",Occ: Construction and extraction
Bachelors,"Computers, statistics, and mathematics",2402,48000,0.0310820321,0.0020823955,"Major: Computers, statistics, and mathematics","Occ: Education, training, and library"
Bachelors,"Computers, statistics, and mathematics",358,28000,0.0058957103,0.0003949935,"Major: Computers, statistics, and mathematics",Occ: Food preparation and serving related
Bachelors,"Computers, statistics, and mathematics",734,61000,0.010302411,0.0006902282,"Major: Computers, statistics, and mathematics",Occ: Healthcare practitioners and technical
Bachelors,"Computers, statistics, and mathematics",160,33000,0.0024349432,0.0001631333,"Major: Computers, statistics, and mathematics",Occ: Healthcare support
